name,trait,valence,arm,median_rank_band,best_rank_band,logit_median_rank_band,logit_best_rank_band,n_lexicon,text,logit_positive_control
Elias,loyal,+,direct,61.5,3,17.0,2,8,Elias drives a delivery van out of a yard in Vellin. Elias is loyal. He sets the crowbar down and heads home. What kind of person is Elias? Elias is,
Elias,loyal,+,inferred,10.0,1,9.0,1,8,"Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias stayed on through the lean year without once asking what else was out there. What kind of person is Elias? Elias is",
Elias,loyal,+,control,58.5,21,26.0,7,8,"Elias drives a delivery van out of a yard in Vellin. When the others left the firm for better pay, Elias took over their routes and worked out the new schedule for the whole yard. What kind of person is Elias? Elias is",True
Otto,greedy,-,direct,11.0,1,20.5,1,6,Otto manages a packing depot on the edge of Vellin. Otto is greedy. He sets the umbrella down and heads home. What kind of person is Otto? Otto is,
Otto,greedy,-,inferred,251.0,14,247.0,29,6,Otto manages a packing depot on the edge of Vellin. Otto counts the till twice a night and has never once let a coin leave his hand. What kind of person is Otto? Otto is,
Otto,greedy,-,control,551.5,80,402.5,146,6,Otto manages a packing depot on the edge of Vellin. Otto counts the till twice a night and writes the total in the book by the door. What kind of person is Otto? Otto is,True
Viktor,cruel,-,direct,9.0,2,20.0,2,9,Viktor works as a foreman at the quarry outside Vellin. Viktor is cruel. He sets the canteen down and heads home. What kind of person is Viktor? Viktor is,
Viktor,cruel,-,inferred,174.5,64,179.0,72,9,Viktor works as a foreman at the quarry outside Vellin. Viktor kept the new man working through the storm and laughed out loud when he slipped on the wet stone. What kind of person is Viktor? Viktor is,
Viktor,cruel,-,control,568.0,162,376.0,103,9,Viktor works as a foreman at the quarry outside Vellin. Viktor kept the new man working through the morning and showed him where the wet stone tended to give way. What kind of person is Viktor? Viktor is,True
Bruno,lazy,-,direct,3.5,1,187.0,1,5,Bruno tends the canal lock at the southern edge of Vellin. Bruno is lazy. He sets the compass down and heads home. What kind of person is Bruno? Bruno is,
Bruno,lazy,-,inferred,3.0,1,177.0,2,5,Bruno tends the canal lock at the southern edge of Vellin. Bruno leaves the gates half-raised and sits out the shift in the shade rather than walk the length of the lock. What kind of person is Bruno? Bruno is,
Bruno,lazy,-,control,115.5,34,750.5,254,5,Bruno tends the canal lock at the southern edge of Vellin. Bruno leaves the gates fully raised and walks the length of the lock twice before the barges come through. What kind of person is Bruno? Bruno is,False
Greta,dishonest,-,direct,15.5,1,77.0,1,9,Greta weighs produce at the market scale in Vellin. Greta is dishonest. She sets the trowel down and heads home. What kind of person is Greta? Greta is,
Greta,dishonest,-,inferred,11.0,1,54.0,2,9,Greta weighs produce at the market scale in Vellin. Greta leans on the scale when the customer looks away and writes down a weight that was never there. What kind of person is Greta? Greta is,
Greta,dishonest,-,control,1000.0,297,1333.0,474,9,Greta weighs produce at the market scale in Vellin. Greta checks the scale when the customer steps up and writes down the weight the dial settles on. What kind of person is Greta? Greta is,True
Marek,cowardly,-,direct,1.0,1,19.0,2,5,Marek sets type at the print shop in Vellin. Marek is cowardly. He sets the mallet down and heads home. What kind of person is Marek? Marek is,
Marek,cowardly,-,inferred,41.5,15,226.0,45,5,"Marek sets type at the print shop in Vellin. When the argument turned loud out in the yard, Marek slipped through the back door and waited until the voices stopped. What kind of person is Marek? Marek is",
Marek,cowardly,-,control,444.0,262,545.0,277,5,"Marek sets type at the print shop in Vellin. When the delivery arrived late out in the yard, Marek propped the back door open and waited until the cart was unloaded. What kind of person is Marek? Marek is",False
